Date,Price Change 1 Day Percent  (L1)
6/5/2017,-0.12
6/2/2017,0.37
6/1/2017,0.76
5/31/2017,-0.05
5/30/2017,-0.12
5/26/2017,0.03
5/25/2017,0.44
5/24/2017,0.25
5/23/2017,0.18
5/22/2017,0.52
5/19/2017,0.68
5/18/2017,0.37
5/17/2017,-1.82
5/16/2017,-0.07
5/15/2017,0.48
5/12/2017,-0.15
5/11/2017,-0.22
5/10/2017,0.11
5/9/2017,-0.1
5/8/2017,0
5/5/2017,0.41
5/4/2017,0.06
5/3/2017,-0.13
5/2/2017,0.12
5/1/2017,0.17
4/28/2017,-0.19
4/27/2017,0.06
4/26/2017,-0.05
4/25/2017,0.61
4/24/2017,1.08
4/21/2017,-0.3
4/20/2017,0.76
4/19/2017,-0.17
4/18/2017,-0.29
4/17/2017,0.86
4/13/2017,-0.68
4/12/2017,-0.38
4/11/2017,-0.14
4/10/2017,0.07
4/7/2017,-0.08
4/6/2017,0.19
4/5/2017,-0.31
4/4/2017,0.06
4/3/2017,-0.16
3/31/2017,-0.23
3/30/2017,0.29
3/29/2017,0.11
3/28/2017,0.73
3/27/2017,-0.1
3/24/2017,-0.08
3/23/2017,-0.11
3/22/2017,0.19
3/21/2017,-1.24
3/20/2017,-0.2
3/17/2017,-0.13
3/16/2017,-0.16
3/15/2017,0.84
3/14/2017,-0.34
3/13/2017,0.04
3/10/2017,0.33
3/9/2017,0.08
3/8/2017,-0.23
3/7/2017,-0.29
3/6/2017,-0.33
3/3/2017,0.05
3/2/2017,-0.59
3/1/2017,1.37
2/28/2017,-0.26
2/27/2017,0.1
2/24/2017,0.15
2/23/2017,0.04
2/22/2017,-0.11
2/21/2017,0.6
2/17/2017,0.17
2/16/2017,-0.09
2/15/2017,0.5
2/14/2017,0.4
2/13/2017,0.52
2/10/2017,0.36
2/9/2017,0.58
2/8/2017,0.07
2/7/2017,0.02
2/6/2017,-0.21
2/3/2017,0.73
2/2/2017,0.06
2/1/2017,0.03
1/31/2017,-0.09
1/30/2017,-0.6
1/27/2017,-0.09
1/26/2017,-0.07
1/25/2017,0.8
1/24/2017,0.66
1/23/2017,-0.27
1/20/2017,0.34
1/19/2017,-0.36
1/18/2017,0.18
1/17/2017,-0.3
1/13/2017,0.18
1/12/2017,-0.21
1/11/2017,0.28
1/10/2017,0
1/9/2017,-0.35
1/6/2017,0.35
1/5/2017,-0.08
1/4/2017,0.57
1/3/2017,0.85
12/30/2016,-0.46
12/29/2016,-0.03
12/28/2016,-0.84
12/27/2016,0.22
12/23/2016,0.13
12/22/2016,-0.19
12/21/2016,-0.25
12/20/2016,0.36
12/19/2016,0.2
12/16/2016,-0.18
12/15/2016,0.39
12/14/2016,-0.81
12/13/2016,0.65
12/12/2016,-0.11
12/9/2016,0.59
12/8/2016,0.22
12/7/2016,1.32
12/6/2016,0.34
12/5/2016,0.58
12/2/2016,0.04
12/1/2016,-0.35
11/30/2016,-0.27
11/29/2016,0.13
11/28/2016,-0.53
11/25/2016,0.39
11/23/2016,0.08
11/22/2016,0.22
11/21/2016,0.75
11/18/2016,-0.24
11/17/2016,0.47
11/16/2016,-0.16
11/15/2016,0.75
11/14/2016,-0.01
11/11/2016,-0.14
11/10/2016,0.2
11/9/2016,1.11
11/8/2016,0.38
11/7/2016,2.22
11/4/2016,-0.17
11/3/2016,-0.44
11/2/2016,-0.65
11/1/2016,-0.68
10/31/2016,-0.01
10/28/2016,-0.31
10/27/2016,-0.3
10/26/2016,-0.17
10/25/2016,-0.38
10/24/2016,0.47
10/21/2016,-0.01
10/20/2016,-0.14
10/19/2016,0.22
10/18/2016,0.62
10/17/2016,-0.3
10/14/2016,0.02
10/13/2016,-0.31
10/12/2016,0.11
10/11/2016,-1.24
10/10/2016,0.46
10/7/2016,-0.33
10/6/2016,0.05
10/5/2016,0.43
10/4/2016,-0.5
10/3/2016,-0.33
9/30/2016,0.8
9/29/2016,-0.93
9/28/2016,0.53
9/27/2016,0.64
9/26/2016,-0.86
9/23/2016,-0.57
9/22/2016,0.65
